"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
1,"2018-07-21 15:48:04 GMT+0800","59332368968","CALL","6239.09","6237.97","6237.97",0.35,"0.00","-0.35"
2,"2018-07-21 15:48:19 GMT+0800","59332385788","CALL","6236.46","6238.72","6238.72",0.39,"0.00","-0.39"
3,"2018-07-21 15:48:32 GMT+0800","59332398348","CALL","6239.80","6240.05","6240.05",0.44,"0.00","-0.44"
4,"2018-07-21 15:48:46 GMT+0800","59332413288","CALL","6239.08","6232.11","6232.11","0.50","0.00","-0.50"
5,"2018-07-21 15:49:16 GMT+0800","59332448128","CALL","6240.57","6242.08","6242.08",0.56,"0.00","-0.56"
6,"2018-07-21 15:49:30 GMT+0800","59332463188","CALL","6240.40","6235.64","6235.64",0.63,"0.00","-0.63"
7,"2018-07-21 15:49:44 GMT+0800","59332477288","CALL","6235.84","6234.82","6234.82",0.71,"0.00","-0.71"
8,"2018-07-21 15:54:50 GMT+0800","59332802648","CALL","6208.24","6211.96","6211.96","0.80",4.61,"3.81"
9,"2018-07-21 15:55:05 GMT+0800","59332820508","CALL","6214.36","6211.52","6211.52",0.35,"0.00","-0.35"
10,"2018-07-21 15:55:18 GMT+0800","59332836528","CALL","6209.94","6217.26","6215.07",0.39,2.25,"1.86"
11,"2018-07-21 15:55:35 GMT+0800","59332854488","CALL","6218.14","6215.68","6216.25",0.35,"0.00","-0.35"
12,"2018-07-21 15:55:51 GMT+0800","59332871068","CALL","6219.42","6221.23","6221.23",0.39,"0.00","-0.39"
13,"2018-07-21 15:56:04 GMT+0800","59332887368","CALL","6218.16","6223.15","6223.15",0.44,2.53,"2.09"
14,"2018-07-21 15:56:19 GMT+0800","59332906188","CALL","6222.48","6220.23","6219.82",0.35,"0.00","-0.35"
15,"2018-07-21 15:56:35 GMT+0800","59332922908","CALL","6219.53","6222.97","6222.97",0.39,"0.00","-0.39"
16,"2018-07-21 15:56:49 GMT+0800","59332936548","CALL","6221.00","6220.61","6220.61",0.44,"0.00","-0.44"
17,"2018-07-21 15:57:02 GMT+0800","59332951548","CALL","6219.33","6226.43","6226.43","0.50",2.88,"2.38"
18,"2018-07-21 15:57:16 GMT+0800","59332967268","CALL","6225.44","6229.08","6229.08",0.35,2.01,"1.66"
19,"2018-07-21 15:57:30 GMT+0800","59332982868","CALL","6229.27","6231.13","6231.13",0.35,"0.00","-0.35"
20,"2018-07-21 15:57:44 GMT+0800","59332997608","CALL","6232.55","6229.80","6229.80",0.39,"0.00","-0.39"
21,"2018-07-21 15:57:58 GMT+0800","59333012968","CALL","6233.68","6231.72","6231.72",0.44,"0.00","-0.44"
22,"2018-07-21 15:58:12 GMT+0800","59333029708","CALL","6229.18","6225.77","6225.77","0.50","0.00","-0.50"
23,"2018-07-21 15:58:52 GMT+0800","59333069788","CALL","6230.58","6224.57","6224.57",0.56,"0.00","-0.56"
24,"2018-07-21 16:00:34 GMT+0800","59333180648","CALL","6221.48","6228.62","6228.62",0.63,3.62,"2.99"
25,"2018-07-21 16:00:48 GMT+0800","59333195228","CALL","6229.81","6232.34","6232.34",0.35,"0.00","-0.35"
26,"2018-07-21 16:01:03 GMT+0800","59333211368","CALL","6227.70","6230.18","6230.18",0.39,"0.00","-0.39"
27,"2018-07-21 16:01:16 GMT+0800","59333226908","CALL","6230.50","6226.42","6226.42",0.44,"0.00","-0.44"
