"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
1,"2018-07-21 12:26:40 GMT+0800","59319967848","CALL","6279.23","6278.29","6278.29","1.00","0.00","-1.00"
2,"2018-07-21 12:26:54 GMT+0800","59319980708","PUT","6282.09","6284.39","6284.39","2.00","0.00","-2.00"
3,"2018-07-21 12:27:09 GMT+0800","59319996828","PUT","6284.53","6288.52","6288.52","4.00","0.00","-4.00"
4,"2018-07-21 12:27:22 GMT+0800","59320010328","PUT","6289.06","6292.49","6292.49","8.00","0.00","-8.00"
5,"2018-07-21 12:27:36 GMT+0800","59320024328","PUT","6293.57","6289.89","6289.89","16.00",31.06,"15.06"
6,"2018-07-21 12:27:50 GMT+0800","59320037608","PUT","6291.43","6286.64","6286.64","1.00",1.94,"0.94"
7,"2018-07-21 12:28:04 GMT+0800","59320052788","PUT","6285.29","6281.79","6281.79","1.00",1.94,"0.94"
8,"2018-07-21 12:28:18 GMT+0800","59320068648","PUT","6276.95","6270.43","6270.43","1.00",1.94,"0.94"
9,"2018-07-21 12:28:32 GMT+0800","59320083808","PUT","6266.95","6261.52","6261.52","1.00",1.94,"0.94"
10,"2018-07-21 12:28:46 GMT+0800","59320098408","PUT","6265.05","6264.47","6264.47","1.00",1.94,"0.94"
11,"2018-07-21 12:29:00 GMT+0800","59320111888","PUT","6261.35","6261.68","6261.68","1.00","0.00","-1.00"
12,"2018-07-21 12:29:14 GMT+0800","59320126648","CALL","6259.89","6260.09","6260.09","2.00",3.88,"1.88"
13,"2018-07-21 12:29:28 GMT+0800","59320140228","CALL","6260.55","6256.98","6256.98","1.00","0.00","-1.00"
14,"2018-07-21 12:29:42 GMT+0800","59320153688","PUT","6258.81","6259.20","6259.20","2.00","0.00","-2.00"
15,"2018-07-21 12:29:56 GMT+0800","59320166748","PUT","6259.86","6257.88","6257.88","4.00",7.77,"3.77"
16,"2018-07-21 12:30:10 GMT+0800","59320181828","PUT","6260.36","6263.80","6263.80","1.00","0.00","-1.00"
17,"2018-07-21 12:30:24 GMT+0800","59320197868","CALL","6260.21","6262.06","6262.06","2.00",3.88,"1.88"
18,"2018-07-21 12:30:38 GMT+0800","59320210988","CALL","6265.77","6267.45","6267.45","1.00",1.94,"0.94"
19,"2018-07-21 12:30:52 GMT+0800","59320224748","CALL","6268.44","6261.36","6261.36","1.00","0.00","-1.00"
20,"2018-07-21 12:31:06 GMT+0800","59320240328","PUT","6260.74","6273.77","6273.77","2.00","0.00","-2.00"
21,"2018-07-21 12:31:20 GMT+0800","59320255308","PUT","6272.73","6277.00","6277.00","4.00","0.00","-4.00"
22,"2018-07-21 12:31:34 GMT+0800","59320271048","PUT","6278.80","6274.26","6274.26","8.00",15.53,"7.53"
23,"2018-07-21 12:31:48 GMT+0800","59320284388","PUT","6274.45","6276.14","6276.14","1.00","0.00","-1.00"
24,"2018-07-21 12:32:02 GMT+0800","59320298708","CALL","6275.21","6271.34","6271.34","2.00","0.00","-2.00"
25,"2018-07-21 12:32:17 GMT+0800","59320315188","CALL","6270.03","6271.38","6271.38","4.00",7.77,"3.77"
26,"2018-07-21 12:32:30 GMT+0800","59320328748","CALL","6273.01","6276.81","6276.81","1.00",1.94,"0.94"
27,"2018-07-21 12:32:44 GMT+0800","59320342548","CALL","6279.87","6279.37","6279.37","1.00","0.00","-1.00"
28,"2018-07-21 12:32:58 GMT+0800","59320357288","PUT","6282.09","6282.90","6282.90","2.00","0.00","-2.00"
29,"2018-07-21 12:33:12 GMT+0800","59320372748","PUT","6284.35","6280.81","6280.81","4.00",7.77,"3.77"
30,"2018-07-21 12:33:26 GMT+0800","59320388268","PUT","6277.54","6276.90","6276.90","1.00",1.94,"0.94"
31,"2018-07-21 12:33:40 GMT+0800","59320403508","PUT","6276.33","6280.24","6280.24","1.00","0.00","-1.00"
32,"2018-07-21 12:33:54 GMT+0800","59320416688","CALL","6276.25","6279.70","6279.70","2.00",3.88,"1.88"
33,"2018-07-21 12:34:08 GMT+0800","59320432308","CALL","6279.24","6281.16","6279.29","1.00",1.94,"0.94"
34,"2018-07-21 12:34:24 GMT+0800","59320448208","CALL","6283.05","6280.02","6280.02","1.00","0.00","-1.00"
35,"2018-07-21 12:34:39 GMT+0800","59320462468","PUT","6281.59","6279.95","6279.95","2.00",3.88,"1.88"
36,"2018-07-21 12:34:52 GMT+0800","59320475868","PUT","6279.94","6280.24","6280.24","1.00","0.00","-1.00"
37,"2018-07-21 12:35:06 GMT+0800","59320491848","CALL","6280.08","6286.06","6286.06","2.00",3.88,"1.88"
38,"2018-07-21 12:35:20 GMT+0800","59320508488","CALL","6286.56","6288.48","6288.48","1.00",1.94,"0.94"
39,"2018-07-21 12:35:34 GMT+0800","59320523348","CALL","6292.80","6296.22","6296.22","1.00",1.94,"0.94"
40,"2018-07-21 12:35:48 GMT+0800","59320540448","CALL","6298.18","6303.00","6303.00","1.00",1.94,"0.94"
41,"2018-07-21 12:36:02 GMT+0800","59320557568","CALL","6301.88","6299.91","6299.91","1.00","0.00","-1.00"
42,"2018-07-21 12:36:17 GMT+0800","59320574588","PUT","6297.71","6291.92","6291.92","2.00",3.88,"1.88"
43,"2018-07-21 12:36:30 GMT+0800","59320588668","PUT","6291.07","6287.05","6287.05","1.00",1.94,"0.94"
44,"2018-07-21 12:36:44 GMT+0800","59320603088","PUT","6287.64","6287.61","6287.61","1.00",1.94,"0.94"
45,"2018-07-21 12:36:58 GMT+0800","59320616668","PUT","6281.77","6282.45","6282.45","1.00","0.00","-1.00"
46,"2018-07-21 12:37:12 GMT+0800","59320632428","CALL","6282.00","6278.71","6278.71","2.00","0.00","-2.00"
47,"2018-07-21 12:37:26 GMT+0800","59320646308","CALL","6275.53","6277.97","6277.97","4.00",7.77,"3.77"
