"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
1,"2018-07-21 11:13:20 GMT+0800","59315643688","PUT","6290.10","6296.90","6296.52",0.35,"0.00","-0.35"
2,"2018-07-21 11:14:14 GMT+0800","59315694488","CALL","6298.50","6297.10","6297.10",0.74,"0.00","-0.74"
3,"2018-07-21 11:14:50 GMT+0800","59315728628","CALL","6289.90","6285.91","6285.40",1.58,"0.00","-1.58"
4,"2018-07-21 11:15:28 GMT+0800","59315765448","PUT","6285.19","6292.08","6290.97",3.36,"0.00","-3.36"
5,"2018-07-21 11:16:08 GMT+0800","59315805808","PUT","6281.71","6284.72","6284.72",7.14,"0.00","-7.14"
6,"2018-07-21 11:16:31 GMT+0800","59315825728","CALL","6284.71","6291.44","6290.66",15.17,29.47,"14.30"
7,"2018-07-21 11:17:40 GMT+0800","59315890348","PUT","6287.20","6281.00","6281.00",0.35,0.66,"0.31"
8,"2018-07-21 11:18:08 GMT+0800","59315918388","CALL","6286.38","6281.94","6281.94",0.35,"0.00","-0.35"
9,"2018-07-21 11:18:40 GMT+0800","59315947288","PUT","6280.99","6279.13","6279.13",0.74,1.44,"0.70"
10,"2018-07-21 11:19:10 GMT+0800","59315975868","CALL","6280.65","6285.11","6285.11",0.35,0.66,"0.31"
11,"2018-07-21 11:19:36 GMT+0800","59316001708","CALL","6287.65","6285.01","6285.01",0.35,"0.00","-0.35"
12,"2018-07-21 11:20:00 GMT+0800","59316026068","CALL","6286.83","6288.03","6286.01",0.74,1.44,"0.70"
13,"2018-07-21 11:20:34 GMT+0800","59316061428","CALL","6290.57","6285.84","6285.84",0.35,"0.00","-0.35"
14,"2018-07-21 11:21:02 GMT+0800","59316089708","CALL","6288.14","6294.55","6294.13",0.74,1.44,"0.70"
15,"2018-07-21 11:21:48 GMT+0800","59316134388","CALL","6289.56","6287.89","6287.89",0.35,"0.00","-0.35"
16,"2018-07-21 11:22:22 GMT+0800","59316168808","CALL","6291.07","6294.43","6294.43",0.74,1.44,"0.70"
17,"2018-07-21 11:23:06 GMT+0800","59316210908","CALL","6298.34","6297.71","6297.71",0.35,"0.00","-0.35"
18,"2018-07-21 11:23:42 GMT+0800","59316246568","CALL","6296.67","6303.22","6303.22",0.74,1.44,"0.70"
19,"2018-07-21 11:24:24 GMT+0800","59316289248","CALL","6306.80","6304.95","6304.95",0.35,"0.00","-0.35"
20,"2018-07-21 11:24:52 GMT+0800","59316317068","CALL","6307.72","6307.11","6307.11",0.74,"0.00","-0.74"
21,"2018-07-21 11:25:22 GMT+0800","59316348668","CALL","6308.00","6315.10","6315.10",1.58,3.07,"1.49"
22,"2018-07-21 11:26:02 GMT+0800","59316388808","CALL","6313.86","6314.88","6314.88",0.35,0.66,"0.31"
23,"2018-07-21 11:26:56 GMT+0800","59316440568","CALL","6307.39","6304.92","6304.92",0.35,"0.00","-0.35"
24,"2018-07-21 11:27:46 GMT+0800","59316487408","CALL","6302.00","6299.23","6299.23",0.74,"0.00","-0.74"
25,"2018-07-21 11:28:32 GMT+0800","59316533868","PUT","6292.62","6287.26","6287.26",1.58,3.07,"1.49"
26,"2018-07-21 11:29:02 GMT+0800","59316561908","CALL","6290.52","6293.23","6292.67",0.35,0.66,"0.31"
27,"2018-07-21 11:29:58 GMT+0800","59316614568","CALL","6297.82","6299.77","6300.90",0.35,0.66,"0.31"
28,"2018-07-21 11:30:58 GMT+0800","59316674388","CALL","6290.86","6286.07","6288.09",0.35,"0.00","-0.35"
29,"2018-07-21 11:31:40 GMT+0800","59316714988","CALL","6285.95","6283.17","6284.29",0.74,"0.00","-0.74"
30,"2018-07-21 11:32:12 GMT+0800","59316747928","CALL","6283.69","6287.11","6288.69",1.58,3.07,"1.49"
31,"2018-07-21 11:32:58 GMT+0800","59316791728","CALL","6295.25","6291.62","6292.83",0.35,"0.00","-0.35"
32,"2018-07-21 11:33:22 GMT+0800","59316816588","CALL","6294.97","6294.94","6294.03",0.74,"0.00","-0.74"
33,"2018-07-21 11:33:56 GMT+0800","59316847588","CALL","6296.25","6291.98","6291.17",1.58,"0.00","-1.58"
34,"2018-07-21 11:34:30 GMT+0800","59316880508","CALL","6290.66","6294.40","6296.05",3.36,6.53,"3.17"
35,"2018-07-21 11:35:22 GMT+0800","59316931828","CALL","6294.17","6295.73","6291.91",0.35,0.66,"0.31"
36,"2018-07-21 11:35:58 GMT+0800","59316964948","CALL","6293.03","6293.02","6293.39",0.35,"0.00","-0.35"
37,"2018-07-21 11:36:40 GMT+0800","59317005008","CALL","6297.79","6307.23","6305.35",0.74,1.44,"0.70"
38,"2018-07-21 11:37:22 GMT+0800","59317047448","CALL","6306.82","6316.06","6316.06",0.35,0.66,"0.31"
39,"2018-07-21 11:38:08 GMT+0800","59317095608","CALL","6314.19","6322.49","6322.49",0.35,0.66,"0.31"
40,"2018-07-21 11:39:11 GMT+0800","59317162268","PUT","6322.61","6326.16","6327.38",0.35,"0.00","-0.35"
41,"2018-07-21 11:39:50 GMT+0800","59317201528","PUT","6322.84","6327.41","6327.41",0.74,"0.00","-0.74"
42,"2018-07-21 11:40:26 GMT+0800","59317240908","CALL","6329.64","6320.19","6320.19",1.58,"0.00","-1.58"
43,"2018-07-21 11:40:54 GMT+0800","59317269768","PUT","6317.20","6316.57","6316.57",3.36,6.52,"3.16"
44,"2018-07-21 11:41:34 GMT+0800","59317310308","CALL","6318.02","6319.98","6319.98",0.35,0.66,"0.31"
45,"2018-07-21 11:42:16 GMT+0800","59317351328","CALL","6315.41","6315.60","6315.60",0.35,0.66,"0.31"
46,"2018-07-21 11:42:58 GMT+0800","59317390908","CALL","6309.99","6309.41","6309.41",0.35,"0.00","-0.35"
47,"2018-07-21 11:43:38 GMT+0800","59317428188","CALL","6308.43","6314.04","6313.38",0.74,1.44,"0.70"
48,"2018-07-21 12:01:36 GMT+0800","59318485408","CALL","6259.48","6250.22","6247.18",0.35,"0.00","-0.35"
49,"2018-07-21 12:02:08 GMT+0800","59318519008","PUT","6241.65","6245.53","6248.03",0.74,"0.00","-0.74"
50,"2018-07-21 12:03:04 GMT+0800","59318574488","CALL","6260.89","6256.77","6257.24",1.58,"0.00","-1.58"
51,"2018-07-21 12:03:28 GMT+0800","59318598668","CALL","6257.11","6258.03","6259.64",3.36,6.53,"3.17"
52,"2018-07-21 12:04:02 GMT+0800","59318632188","CALL","6264.00","6268.91","6270.17",0.35,0.66,"0.31"
53,"2018-07-21 12:04:48 GMT+0800","59318680548","CALL","6281.29","6283.83","6283.77",0.35,0.66,"0.31"
54,"2018-07-21 12:05:20 GMT+0800","59318715588","CALL","6285.13","6293.61","6292.50",0.35,0.66,"0.31"
55,"2018-07-21 12:06:06 GMT+0800","59318762548","CALL","6291.51","6295.01","6295.01",0.35,0.66,"0.31"
56,"2018-07-21 12:07:16 GMT+0800","59318833588","PUT","6288.99","6296.19","6294.73",0.35,"0.00","-0.35"
57,"2018-07-21 12:08:12 GMT+0800","59318890368","CALL","6297.78","6293.57","6295.11",0.74,"0.00","-0.74"
58,"2018-07-21 12:08:42 GMT+0800","59318921168","CALL","6297.97","6298.59","6299.24",1.58,3.07,"1.49"
59,"2018-07-21 12:09:48 GMT+0800","59318982988","CALL","6299.55","6298.06","6294.73",0.35,"0.00","-0.35"
60,"2018-07-21 12:10:16 GMT+0800","59319012768","CALL","6298.55","6294.50","6296.15",0.74,"0.00","-0.74"
61,"2018-07-21 12:11:02 GMT+0800","59319055588","PUT","6283.89","6292.21","6290.46",1.58,"0.00","-1.58"
62,"2018-07-21 12:11:54 GMT+0800","59319102788","CALL","6291.89","6293.20","6294.99",3.36,6.53,"3.17"
63,"2018-07-21 12:12:46 GMT+0800","59319152588","PUT","6299.04","6301.66","6304.07",0.35,"0.00","-0.35"
64,"2018-07-21 12:13:22 GMT+0800","59319185768","CALL","6301.50","6297.97","6301.09",0.74,"0.00","-0.74"
65,"2018-07-21 12:13:54 GMT+0800","59319213128","CALL","6300.89","6301.72","6301.72",1.58,3.07,"1.49"
